metric             	value_ms	mps-30	mps-50	orion	MorphX	stream	tgs  	timeslice
p99<=40ms_completed	40      	0     	0     	0.205	0.205  	0.206 	0.094	0.094    
p99<=50ms_completed	50      	0     	0     	0.404	0.404  	0.306 	0.094	0.306    
p99<=60ms_completed	60      	0     	0.205 	0.497	0.404  	0.404 	0.220	0.404    
p99<=70ms_completed	70      	0     	0.305 	0.497	0.589  	0.404 	0.220	0.404    
p99<=80ms_completed	80      	0     	0.497 	0.589	0.589  	0.497 	0.220	0.497    
p99<=40ms_other_rps	40      	0     	0     	0.020	0.020  	0.020 	0.010	0.010    
p99<=50ms_other_rps	50      	0     	0     	0.040	0.040  	0.030 	0.010	0.030    
p99<=60ms_other_rps	60      	0     	0.020 	0.050	0.040  	0.040 	0.030	0.040    
p99<=70ms_other_rps	70      	0     	0.030 	0.050	0.060  	0.040 	0.030	0.040    
p99<=80ms_other_rps	80      	0     	0.050 	0.060	0.060  	0.050 	0.030	0.050    
