M,N,K | cuBLAS(ms) | CUTLASS(ms) | |Δ|(ms) | ratio(CUTLASS/cuBLAS)
M= 2048, N=  512, K=   64 |     0.007 |       0.008 |   0.000 |     1.057
M= 2048, N=  512, K=  128 |     0.009 |       0.008 |   0.000 |     0.976
M= 2048, N=  512, K=  256 |     0.010 |       0.010 |   0.000 |     0.961
M= 2048, N=  512, K=  512 |     0.014 |       0.013 |   0.001 |     0.940
M= 2048, N=  512, K= 1024 |     0.020 |       0.019 |   0.001 |     0.969
M= 2048, N=  512, K= 2048 |     0.032 |       0.032 |   0.000 |     0.994
M= 2048, N=  512, K= 4096 |     0.057 |       0.057 |   0.000 |     1.007
M= 2048, N=  512, K= 8192 |     0.087 |       0.107 |   0.020 |     1.225
M= 2048, N=  512, K=12288 |     0.119 |       0.157 |   0.038 |     1.316
M= 2048, N=  512, K=16384 |     0.154 |       0.207 |   0.053 |     1.342
M= 2048, N= 1024, K=   16 |     0.009 |       0.008 |   0.001 |     0.881
M= 2048, N= 1024, K=   32 |     0.009 |       0.008 |   0.001 |     0.905
M= 2048, N= 1024, K=   64 |     0.010 |       0.009 |   0.001 |     0.860
M= 2048, N= 1024, K=  128 |     0.012 |       0.012 |   0.000 |     0.966
M= 2048, N= 1024, K=  256 |     0.014 |       0.014 |   0.001 |     1.045
M= 2048, N= 1024, K=  512 |     0.020 |       0.020 |   0.001 |     1.031
M= 2048, N= 1024, K= 1024 |     0.032 |       0.040 |   0.008 |     1.258
M= 2048, N= 1024, K= 2048 |     0.054 |       0.057 |   0.003 |     1.053
M= 2048, N= 1024, K= 4096 |     0.089 |       0.106 |   0.017 |     1.193
M= 2048, N= 1024, K= 8192 |     0.155 |       0.206 |   0.050 |     1.323
M= 2048, N= 1024, K=12288 |     0.220 |       0.299 |   0.080 |     1.363
M= 2048, N= 1024, K=16384 |     0.280 |       0.393 |   0.113 |     1.403
M= 2048, N= 2048, K=   16 |     0.012 |       0.011 |   0.001 |     0.883
M= 2048, N= 2048, K=   32 |     0.013 |       0.011 |   0.002 |     0.857
M= 2048, N= 2048, K=   64 |     0.014 |       0.013 |   0.002 |     0.886
M= 2048, N= 2048, K=  128 |     0.018 |       0.016 |   0.002 |     0.898
M= 2048, N= 2048, K=  256 |     0.019 |       0.023 |   0.004 |     1.204
M= 2048, N= 2048, K=  512 |     0.028 |       0.029 |   0.002 |     1.059
M= 2048, N= 2048, K= 1024 |     0.046 |       0.048 |   0.002 |     1.054
M= 2048, N= 2048, K= 2048 |     0.098 |       0.085 |   0.012 |     0.874
M= 2048, N= 2048, K= 4096 |     0.172 |       0.158 |   0.014 |     0.919
M= 2048, N= 2048, K= 8192 |     0.295 |       0.305 |   0.009 |     1.032
M= 2048, N= 2048, K=12288 |     0.409 |       0.450 |   0.040 |     1.098
M= 2048, N= 2048, K=16384 |     0.528 |       0.603 |   0.075 |     1.143
M= 2048, N= 4096, K=   16 |     0.016 |       0.017 |   0.001 |     1.037
M= 2048, N= 4096, K=   32 |     0.017 |       0.017 |   0.000 |     1.024
M= 2048, N= 4096, K=   64 |     0.021 |       0.021 |   0.000 |     0.981
M= 2048, N= 4096, K=  128 |     0.026 |       0.022 |   0.004 |     0.858
M= 2048, N= 4096, K=  256 |     0.028 |       0.033 |   0.005 |     1.193
M= 2048, N= 4096, K=  512 |     0.043 |       0.049 |   0.006 |     1.144
M= 2048, N= 4096, K= 1024 |     0.074 |       0.078 |   0.003 |     1.047
M= 2048, N= 4096, K= 2048 |     0.163 |       0.139 |   0.024 |     0.853
M= 2048, N= 4096, K= 4096 |     0.284 |       0.258 |   0.027 |     0.906
M= 2048, N= 4096, K= 8192 |     0.518 |       0.503 |   0.014 |     0.972
M= 2048, N= 4096, K=12288 |     0.752 |       0.763 |   0.011 |     1.015
M= 2048, N= 4096, K=16384 |     0.988 |       1.017 |   0.029 |     1.029
M= 2048, N= 8192, K=   16 |     0.030 |       0.031 |   0.001 |     1.048
M= 2048, N= 8192, K=   32 |     0.030 |       0.032 |   0.002 |     1.075
M= 2048, N= 8192, K=   64 |     0.039 |       0.036 |   0.002 |     0.947
M= 2048, N= 8192, K=  128 |     0.049 |       0.040 |   0.008 |     0.828
M= 2048, N= 8192, K=  256 |     0.050 |       0.060 |   0.010 |     1.192
M= 2048, N= 8192, K=  512 |     0.081 |       0.092 |   0.011 |     1.139
M= 2048, N= 8192, K= 1024 |     0.139 |       0.148 |   0.008 |     1.060
M= 2048, N= 8192, K= 2048 |     0.258 |       0.310 |   0.052 |     1.201
M= 2048, N= 8192, K= 4096 |     0.496 |       0.513 |   0.018 |     1.036
M= 2048, N= 8192, K= 8192 |     0.972 |       0.995 |   0.023 |     1.023
M= 2048, N= 8192, K=12288 |     1.444 |       1.463 |   0.019 |     1.013
M= 2048, N= 8192, K=16384 |     1.915 |       1.936 |   0.020 |     1.011
M= 2048, N=12288, K=   16 |     0.041 |       0.043 |   0.002 |     1.040
M= 2048, N=12288, K=   32 |     0.042 |       0.045 |   0.002 |     1.058
M= 2048, N=12288, K=   64 |     0.054 |       0.051 |   0.003 |     0.939
M= 2048, N=12288, K=  128 |     0.072 |       0.058 |   0.014 |     0.806
M= 2048, N=12288, K=  256 |     0.072 |       0.079 |   0.008 |     1.106
M= 2048, N=12288, K=  512 |     0.118 |       0.135 |   0.017 |     1.143
M= 2048, N=12288, K= 1024 |     0.208 |       0.233 |   0.025 |     1.120
M= 2048, N=12288, K= 2048 |     0.430 |       0.609 |   0.179 |     1.417
M= 2048, N=12288, K= 4096 |     0.812 |       1.209 |   0.397 |     1.489
M= 2048, N=12288, K= 8192 |     1.563 |       2.427 |   0.864 |     1.553
M= 2048, N=12288, K=12288 |     2.325 |       3.595 |   1.270 |     1.546
M= 2048, N=12288, K=16384 |     3.087 |       4.768 |   1.680 |     1.544
M= 2048, N=16384, K=   16 |     0.053 |       0.056 |   0.002 |     1.046
M= 2048, N=16384, K=   32 |     0.057 |       0.058 |   0.001 |     1.025
M= 2048, N=16384, K=   64 |     0.070 |       0.065 |   0.005 |     0.935
M= 2048, N=16384, K=  128 |     0.092 |       0.081 |   0.011 |     0.880
M= 2048, N=16384, K=  256 |     0.092 |       0.111 |   0.019 |     1.206
M= 2048, N=16384, K=  512 |     0.156 |       0.182 |   0.026 |     1.164
M= 2048, N=16384, K= 1024 |     0.276 |       0.439 |   0.163 |     1.592
M= 2048, N=16384, K= 2048 |     0.542 |       0.906 |   0.365 |     1.673
M= 2048, N=16384, K= 4096 |     1.016 |       1.101 |   0.085 |     1.084
M= 2048, N=16384, K= 8192 |     1.977 |       2.082 |   0.105 |     1.053
M= 2048, N=16384, K=12288 |     3.002 |       3.184 |   0.182 |     1.061
M= 2048, N=16384, K=16384 |     4.036 |       4.237 |   0.201 |     1.050
M= 4096, N=   16, K=   16 |     0.007 |       0.005 |   0.002 |     0.714
M= 4096, N=   16, K=   32 |     0.007 |       0.005 |   0.002 |     0.694
M= 4096, N=   16, K=   64 |     0.007 |       0.006 |   0.002 |     0.771
M= 4096, N=   16, K=  128 |     0.007 |       0.006 |   0.001 |     0.857
M= 4096, N=   16, K=  256 |     0.007 |       0.007 |   0.000 |     1.030
M= 4096, N=   16, K=  512 |     0.008 |       0.008 |   0.000 |     1.053
M= 4096, N=   16, K= 1024 |     0.010 |       0.011 |   0.001 |     1.106
M= 4096, N=   16, K= 2048 |     0.013 |       0.016 |   0.002 |     1.185
M= 4096, N=   16, K= 4096 |     0.029 |       0.030 |   0.001 |     1.028
M= 4096, N=   16, K= 8192 |     0.061 |       0.060 |   0.001 |     0.977
M= 4096, N=   16, K=12288 |     0.090 |       0.086 |   0.004 |     0.957
M= 4096, N=   16, K=16384 |     0.116 |       0.111 |   0.006 |     0.951
M= 4096, N=   32, K=   16 |     0.007 |       0.006 |   0.001 |     0.818
M= 4096, N=   32, K=   32 |     0.007 |       0.005 |   0.001 |     0.788
M= 4096, N=   32, K=   64 |     0.008 |       0.006 |   0.002 |     0.737
M= 4096, N=   32, K=  128 |     0.008 |       0.006 |   0.002 |     0.756
M= 4096, N=   32, K=  256 |     0.008 |       0.007 |   0.001 |     0.868
M= 4096, N=   32, K=  512 |     0.008 |       0.008 |   0.001 |     1.079
M= 4096, N=   32, K= 1024 |     0.010 |       0.011 |   0.001 |     1.106
M= 4096, N=   32, K= 2048 |     0.014 |       0.016 |   0.002 |     1.147
M= 4096, N=   32, K= 4096 |     0.030 |       0.031 |   0.001 |     1.027
M= 4096, N=   32, K= 8192 |     0.063 |       0.062 |   0.001 |     0.984
M= 4096, N=   32, K=12288 |     0.089 |       0.090 |   0.001 |     1.014
M= 4096, N=   32, K=16384 |     0.114 |       0.117 |   0.003 |     1.025
M= 4096, N=   64, K=   16 |     0.007 |       0.006 |   0.001 |     0.800
M= 4096, N=   64, K=   32 |     0.007 |       0.006 |   0.001 |     0.818
M= 4096, N=   64, K=   64 |     0.008 |       0.006 |   0.002 |     0.763
M= 4096, N=   64, K=  128 |     0.009 |       0.006 |   0.003 |     0.674
M= 4096, N=   64, K=  256 |     0.007 |       0.007 |   0.000 |     1.000
M= 4096, N=   64, K=  512 |     0.008 |       0.009 |   0.000 |     1.050
M= 4096, N=   64, K= 1024 |     0.010 |       0.011 |   0.001 |     1.060
M= 4096, N=   64, K= 2048 |     0.015 |       0.016 |   0.002 |     1.113
M= 4096, N=   64, K= 4096 |     0.030 |       0.031 |   0.001 |     1.041
M= 4096, N=   64, K= 8192 |     0.065 |       0.063 |   0.002 |     0.972
M= 4096, N=   64, K=12288 |     0.093 |       0.090 |   0.002 |     0.973
M= 4096, N=   64, K=16384 |     0.119 |       0.117 |   0.002 |     0.981
M= 4096, N=  128, K=   16 |     0.007 |       0.006 |   0.001 |     0.800
M= 4096, N=  128, K=   32 |     0.007 |       0.006 |   0.001 |     0.829
M= 4096, N=  128, K=   64 |     0.008 |       0.006 |   0.002 |     0.795
M= 4096, N=  128, K=  128 |     0.010 |       0.007 |   0.002 |     0.745
M= 4096, N=  128, K=  256 |     0.008 |       0.008 |   0.001 |     1.079
M= 4096, N=  128, K=  512 |     0.009 |       0.010 |   0.001 |     1.087
M= 4096, N=  128, K= 1024 |     0.013 |       0.015 |   0.002 |     1.143
M= 4096, N=  128, K= 2048 |     0.019 |       0.024 |   0.005 |     1.232
M= 4096, N=  128, K= 4096 |     0.037 |       0.042 |   0.005 |     1.132
M= 4096, N=  128, K= 8192 |     0.068 |       0.077 |   0.009 |     1.129
M= 4096, N=  128, K=12288 |     0.095 |       0.113 |   0.018 |     1.188
M= 4096, N=  128, K=16384 |     0.119 |       0.140 |   0.020 |     1.172
M= 4096, N=  256, K=   16 |     0.007 |       0.006 |   0.000 |     0.939
M= 4096, N=  256, K=   32 |     0.007 |       0.006 |   0.000 |     0.939
M= 4096, N=  256, K=   64 |     0.008 |       0.007 |   0.001 |     0.921
M= 4096, N=  256, K=  128 |     0.009 |       0.008 |   0.001 |     0.911
M= 4096, N=  256, K=  256 |     0.012 |       0.011 |   0.001 |     0.898
M= 4096, N=  256, K=  512 |     0.016 |       0.014 |   0.002 |     0.882
M= 4096, N=  256, K= 1024 |     0.023 |       0.019 |   0.005 |     0.807
M= 4096, N=  256, K= 2048 |     0.035 |       0.031 |   0.004 |     0.890
M= 4096, N=  256, K= 4096 |     0.053 |       0.056 |   0.003 |     1.054
M= 4096, N=  256, K= 8192 |     0.092 |       0.105 |   0.013 |     1.145
M= 4096, N=  256, K=12288 |     0.124 |       0.154 |   0.029 |     1.236
M= 4096, N=  256, K=16384 |     0.153 |       0.203 |   0.049 |     1.320
M= 4096, N=  512, K=   16 |     0.008 |       0.008 |   0.001 |     0.925
M= 4096, N=  512, K=   32 |     0.009 |       0.008 |   0.001 |     0.881
M= 4096, N=  512, K=   64 |     0.010 |       0.009 |   0.002 |     0.840
M= 4096, N=  512, K=  128 |     0.012 |       0.011 |   0.001 |     0.914
M= 4096, N=  512, K=  256 |     0.013 |       0.015 |   0.002 |     1.125
M= 4096, N=  512, K=  512 |     0.021 |       0.021 |   0.000 |     0.990
M= 4096, N=  512, K= 1024 |     0.030 |       0.035 |   0.005 |     1.149
M= 4096, N=  512, K= 2048 |     0.055 |       0.058 |   0.003 |     1.056
M= 4096, N=  512, K= 4096 |     0.088 |       0.104 |   0.016 |     1.186
M= 4096, N=  512, K= 8192 |     0.152 |       0.201 |   0.049 |     1.322
M= 4096, N=  512, K=12288 |     0.215 |       0.296 |   0.081 |     1.375
M= 4096, N=  512, K=16384 |     0.280 |       0.393 |   0.113 |     1.404
M= 4096, N= 1024, K=   16 |     0.012 |       0.011 |   0.002 |     0.867
M= 4096, N= 1024, K=   32 |     0.012 |       0.011 |   0.001 |     0.885
M= 4096, N= 1024, K=   64 |     0.014 |       0.014 |   0.001 |     0.957
M= 4096, N= 1024, K=  128 |     0.018 |       0.016 |   0.001 |     0.920
M= 4096, N= 1024, K=  256 |     0.019 |       0.023 |   0.004 |     1.196
M= 4096, N= 1024, K=  512 |     0.028 |       0.029 |   0.002 |     1.059
M= 4096, N= 1024, K= 1024 |     0.046 |       0.048 |   0.002 |     1.049
M= 4096, N= 1024, K= 2048 |     0.084 |       0.086 |   0.003 |     1.032
M= 4096, N= 1024, K= 4096 |     0.144 |       0.159 |   0.015 |     1.104
M= 4096, N= 1024, K= 8192 |     0.291 |       0.304 |   0.014 |     1.046
M= 4096, N= 1024, K=12288 |     0.409 |       0.464 |   0.055 |     1.135
M= 4096, N= 1024, K=16384 |     0.522 |       0.590 |   0.067 |     1.129
M= 4096, N= 2048, K=   16 |     0.016 |       0.016 |   0.000 |     0.987
M= 4096, N= 2048, K=   32 |     0.017 |       0.016 |   0.000 |     0.975
M= 4096, N= 2048, K=   64 |     0.020 |       0.021 |   0.001 |     1.040
M= 4096, N= 2048, K=  128 |     0.026 |       0.022 |   0.003 |     0.865
M= 4096, N= 2048, K=  256 |     0.028 |       0.030 |   0.002 |     1.073
M= 4096, N= 2048, K=  512 |     0.043 |       0.050 |   0.007 |     1.168
M= 4096, N= 2048, K= 1024 |     0.074 |       0.085 |   0.011 |     1.150
M= 4096, N= 2048, K= 2048 |     0.134 |       0.138 |   0.005 |     1.034
M= 4096, N= 2048, K= 4096 |     0.253 |       0.258 |   0.006 |     1.023
M= 4096, N= 2048, K= 8192 |     0.585 |       0.501 |   0.084 |     0.856
M= 4096, N= 2048, K=12288 |     0.866 |       0.741 |   0.125 |     0.856
M= 4096, N= 2048, K=16384 |     1.147 |       1.013 |   0.134 |     0.883
M= 4096, N= 4096, K=   16 |     0.029 |       0.030 |   0.001 |     1.028
M= 4096, N= 4096, K=   32 |     0.030 |       0.030 |   0.000 |     1.000
M= 4096, N= 4096, K=   64 |     0.038 |       0.041 |   0.003 |     1.075
M= 4096, N= 4096, K=  128 |     0.048 |       0.041 |   0.007 |     0.859
M= 4096, N= 4096, K=  256 |     0.050 |       0.057 |   0.007 |     1.148
M= 4096, N= 4096, K=  512 |     0.080 |       0.092 |   0.013 |     1.159
M= 4096, N= 4096, K= 1024 |     0.140 |       0.147 |   0.007 |     1.047
M= 4096, N= 4096, K= 2048 |     0.267 |       0.268 |   0.001 |     1.004
M= 4096, N= 4096, K= 4096 |     0.502 |       0.507 |   0.006 |     1.011
M= 4096, N= 4096, K= 8192 |     0.973 |       0.981 |   0.008 |     1.008
M= 4096, N= 4096, K=12288 |     1.444 |       1.453 |   0.008 |     1.006
M= 4096, N= 4096, K=16384 |     1.915 |       1.937 |   0.021 |     1.011
M= 4096, N= 8192, K=   16 |     0.053 |       0.081 |   0.027 |     1.510
M= 4096, N= 8192, K=   32 |     0.054 |       0.056 |   0.001 |     1.019
M= 4096, N= 8192, K=   64 |     0.067 |       0.063 |   0.003 |     0.951
M= 4096, N= 8192, K=  128 |     0.087 |       0.078 |   0.010 |     0.890
M= 4096, N= 8192, K=  256 |     0.089 |       0.099 |   0.010 |     1.118
M= 4096, N= 8192, K=  512 |     0.146 |       0.172 |   0.026 |     1.175
M= 4096, N= 8192, K= 1024 |     0.286 |       0.304 |   0.018 |     1.062
M= 4096, N= 8192, K= 2048 |     0.521 |       0.555 |   0.034 |     1.065
M= 4096, N= 8192, K= 4096 |     0.998 |       1.022 |   0.024 |     1.024
M= 4096, N= 8192, K= 8192 |     1.930 |       1.965 |   0.035 |     1.018
M= 4096, N= 8192, K=12288 |     2.971 |       2.988 |   0.017 |     1.006
M= 4096, N= 8192, K=16384 |     4.121 |       4.383 |   0.261 |     1.063
M= 4096, N=12288, K=   16 |     0.087 |       0.138 |   0.051 |     1.589
M= 4096, N=12288, K=   32 |     0.087 |       0.088 |   0.001 |     1.007
M= 4096, N=12288, K=   64 |     0.108 |       0.101 |   0.006 |     0.941
M= 4096, N=12288, K=  128 |     0.143 |       0.127 |   0.016 |     0.885
M= 4096, N=12288, K=  256 |     0.152 |       0.186 |   0.033 |     1.219
M= 4096, N=12288, K=  512 |     0.256 |       0.303 |   0.047 |     1.184
M= 4096, N=12288, K= 1024 |     0.467 |       0.504 |   0.037 |     1.078
M= 4096, N=12288, K= 2048 |     0.903 |       1.235 |   0.332 |     1.368
M= 4096, N=12288, K= 4096 |     1.572 |       1.582 |   0.010 |     1.006
M= 4096, N=12288, K= 8192 |     2.921 |       3.115 |   0.194 |     1.066
M= 4096, N=12288, K=12288 |     4.439 |       4.827 |   0.388 |     1.087
M= 4096, N=12288, K=16384 |     6.966 |       6.666 |   0.299 |     0.957
M= 4096, N=16384, K=   16 |     0.101 |       0.157 |   0.056 |     1.555
M= 4096, N=16384, K=   32 |     0.102 |       0.114 |   0.012 |     1.116
M= 4096, N=16384, K=   64 |     0.130 |       0.122 |   0.008 |     0.937
M= 4096, N=16384, K=  128 |     0.173 |       0.154 |   0.019 |     0.889
M= 4096, N=16384, K=  256 |     0.177 |       0.218 |   0.041 |     1.230
M= 4096, N=16384, K=  512 |     0.289 |       0.323 |   0.034 |     1.118
M= 4096, N=16384, K= 1024 |     0.529 |       0.897 |   0.368 |     1.696
M= 4096, N=16384, K= 2048 |     1.018 |       1.136 |   0.118 |     1.115
M= 4096, N=16384, K= 4096 |     1.921 |       2.120 |   0.198 |     1.103
M= 4096, N=16384, K= 8192 |     3.733 |       4.173 |   0.440 |     1.118
M= 4096, N=16384, K=12288 |     6.497 |       7.117 |   0.620 |     1.095
M= 4096, N=16384, K=16384 |     8.488 |       8.167 |   0.321 |     0.962
M= 8192, N=   16, K=   16 |     0.007 |       0.006 |   0.002 |     0.778
M= 8192, N=   16, K=   32 |     0.007 |       0.006 |   0.001 |     0.806
M= 8192, N=   16, K=   64 |     0.007 |       0.006 |   0.001 |     0.886
M= 8192, N=   16, K=  128 |     0.007 |       0.007 |   0.000 |     1.030
M= 8192, N=   16, K=  256 |     0.008 |       0.008 |   0.000 |     1.000
M= 8192, N=   16, K=  512 |     0.013 |       0.010 |   0.003 |     0.762
M= 8192, N=   16, K= 1024 |     0.013 |       0.014 |   0.001 |     1.048
M= 8192, N=   16, K= 2048 |     0.028 |       0.029 |   0.002 |     1.059
M= 8192, N=   16, K= 4096 |     0.060 |       0.060 |   0.000 |     0.993
M= 8192, N=   16, K= 8192 |     0.114 |       0.111 |   0.003 |     0.975
M= 8192, N=   16, K=12288 |     0.168 |       0.164 |   0.005 |     0.973
M= 8192, N=   16, K=16384 |     0.219 |       0.215 |   0.003 |     0.986
M= 8192, N=   32, K=   16 |     0.007 |       0.006 |   0.001 |     0.833
M= 8192, N=   32, K=   32 |     0.007 |       0.006 |   0.001 |     0.833
M= 8192, N=   32, K=   64 |     0.008 |       0.007 |   0.002 |     0.805
M= 8192, N=   32, K=  128 |     0.010 |       0.007 |   0.003 |     0.706
M= 8192, N=   32, K=  256 |     0.008 |       0.009 |   0.000 |     1.050
M= 8192, N=   32, K=  512 |     0.010 |       0.010 |   0.000 |     1.041
M= 8192, N=   32, K= 1024 |     0.014 |       0.014 |   0.001 |     1.061
M= 8192, N=   32, K= 2048 |     0.030 |       0.031 |   0.001 |     1.034
M= 8192, N=   32, K= 4096 |     0.061 |       0.059 |   0.002 |     0.970
M= 8192, N=   32, K= 8192 |     0.112 |       0.111 |   0.000 |     0.996
M= 8192, N=   32, K=12288 |     0.163 |       0.164 |   0.001 |     1.008
M= 8192, N=   32, K=16384 |     0.222 |       0.216 |   0.005 |     0.976
M= 8192, N=   64, K=   16 |     0.007 |       0.006 |   0.001 |     0.833
M= 8192, N=   64, K=   32 |     0.007 |       0.006 |   0.001 |     0.861
M= 8192, N=   64, K=   64 |     0.008 |       0.007 |   0.001 |     0.875
M= 8192, N=   64, K=  128 |     0.010 |       0.008 |   0.002 |     0.755
M= 8192, N=   64, K=  256 |     0.009 |       0.009 |   0.000 |     1.024
M= 8192, N=   64, K=  512 |     0.010 |       0.011 |   0.000 |     1.040
M= 8192, N=   64, K= 1024 |     0.014 |       0.015 |   0.001 |     1.044
M= 8192, N=   64, K= 2048 |     0.033 |       0.034 |   0.001 |     1.025
M= 8192, N=   64, K= 4096 |     0.061 |       0.062 |   0.001 |     1.017
M= 8192, N=   64, K= 8192 |     0.117 |       0.114 |   0.003 |     0.970
M= 8192, N=   64, K=12288 |     0.171 |       0.172 |   0.001 |     1.006
M= 8192, N=   64, K=16384 |     0.225 |       0.227 |   0.002 |     1.011
M= 8192, N=  128, K=   16 |     0.007 |       0.007 |   0.001 |     0.917
M= 8192, N=  128, K=   32 |     0.007 |       0.007 |   0.000 |     0.944
M= 8192, N=  128, K=   64 |     0.008 |       0.008 |   0.001 |     0.902
M= 8192, N=  128, K=  128 |     0.010 |       0.009 |   0.001 |     0.860
M= 8192, N=  128, K=  256 |     0.011 |       0.011 |   0.001 |     1.077
M= 8192, N=  128, K=  512 |     0.014 |       0.015 |   0.001 |     1.103
M= 8192, N=  128, K= 1024 |     0.021 |       0.021 |   0.001 |     1.030
M= 8192, N=  128, K= 2048 |     0.039 |       0.035 |   0.003 |     0.910
M= 8192, N=  128, K= 4096 |     0.067 |       0.061 |   0.006 |     0.905
M= 8192, N=  128, K= 8192 |     0.127 |       0.114 |   0.013 |     0.897
M= 8192, N=  128, K=12288 |     0.176 |       0.168 |   0.007 |     0.959
M= 8192, N=  128, K=16384 |     0.228 |       0.224 |   0.004 |     0.981
M= 8192, N=  256, K=   16 |     0.009 |       0.008 |   0.001 |     0.881
M= 8192, N=  256, K=   32 |     0.009 |       0.008 |   0.001 |     0.881
M= 8192, N=  256, K=   64 |     0.010 |       0.009 |   0.002 |     0.840
M= 8192, N=  256, K=  128 |     0.012 |       0.011 |   0.001 |     0.931
M= 8192, N=  256, K=  256 |     0.015 |       0.014 |   0.001 |     0.933
M= 8192, N=  256, K=  512 |     0.019 |       0.020 |   0.001 |     1.053
M= 8192, N=  256, K= 1024 |     0.031 |       0.040 |   0.008 |     1.268
M= 8192, N=  256, K= 2048 |     0.056 |       0.059 |   0.003 |     1.047
M= 8192, N=  256, K= 4096 |     0.104 |       0.106 |   0.002 |     1.020
M= 8192, N=  256, K= 8192 |     0.155 |       0.203 |   0.047 |     1.305
M= 8192, N=  256, K=12288 |     0.217 |       0.299 |   0.082 |     1.375
M= 8192, N=  256, K=16384 |     0.276 |       0.393 |   0.117 |     1.425
M= 8192, N=  512, K=   16 |     0.012 |       0.011 |   0.001 |     0.897
M= 8192, N=  512, K=   32 |     0.013 |       0.013 |   0.000 |     0.984
M= 8192, N=  512, K=   64 |     0.015 |       0.014 |   0.001 |     0.932
M= 8192, N=  512, K=  128 |     0.018 |       0.017 |   0.001 |     0.955
M= 8192, N=  512, K=  256 |     0.019 |       0.024 |   0.004 |     1.221
M= 8192, N=  512, K=  512 |     0.028 |       0.029 |   0.001 |     1.052
M= 8192, N=  512, K= 1024 |     0.047 |       0.049 |   0.002 |     1.039
M= 8192, N=  512, K= 2048 |     0.083 |       0.085 |   0.001 |     1.015
M= 8192, N=  512, K= 4096 |     0.155 |       0.158 |   0.002 |     1.016
M= 8192, N=  512, K= 8192 |     0.290 |       0.310 |   0.019 |     1.067
M= 8192, N=  512, K=12288 |     0.419 |       0.450 |   0.030 |     1.072
M= 8192, N=  512, K=16384 |     0.518 |       0.595 |   0.077 |     1.150
M= 8192, N= 1024, K=   16 |     0.017 |       0.019 |   0.002 |     1.148
M= 8192, N= 1024, K=   32 |     0.018 |       0.020 |   0.002 |     1.103
M= 8192, N= 1024, K=   64 |     0.021 |       0.019 |   0.002 |     0.902
M= 8192, N= 1024, K=  128 |     0.026 |       0.023 |   0.003 |     0.884
M= 8192, N= 1024, K=  256 |     0.029 |       0.035 |   0.006 |     1.190
M= 8192, N= 1024, K=  512 |     0.045 |       0.052 |   0.007 |     1.158
M= 8192, N= 1024, K= 1024 |     0.076 |       0.078 |   0.002 |     1.027
M= 8192, N= 1024, K= 2048 |     0.136 |       0.139 |   0.002 |     1.018
M= 8192, N= 1024, K= 4096 |     0.282 |       0.262 |   0.020 |     0.927
M= 8192, N= 1024, K= 8192 |     0.521 |       0.510 |   0.011 |     0.978
M= 8192, N= 1024, K=12288 |     0.759 |       0.775 |   0.016 |     1.020
M= 8192, N= 1024, K=16384 |     0.995 |       0.995 |   0.001 |     0.999
M= 8192, N= 2048, K=   16 |     0.029 |       0.033 |   0.003 |     1.120
M= 8192, N= 2048, K=   32 |     0.030 |       0.032 |   0.003 |     1.090
M= 8192, N= 2048, K=   64 |     0.037 |       0.043 |   0.006 |     1.155
M= 8192, N= 2048, K=  128 |     0.047 |       0.043 |   0.005 |     0.905
M= 8192, N= 2048, K=  256 |     0.050 |       0.058 |   0.008 |     1.159
M= 8192, N= 2048, K=  512 |     0.083 |       0.087 |   0.004 |     1.044
M= 8192, N= 2048, K= 1024 |     0.143 |       0.148 |   0.006 |     1.039
M= 8192, N= 2048, K= 2048 |     0.268 |       0.268 |   0.000 |     0.999
M= 8192, N= 2048, K= 4096 |     0.503 |       0.507 |   0.005 |     1.009
M= 8192, N= 2048, K= 8192 |     0.973 |       0.981 |   0.008 |     1.008
M= 8192, N= 2048, K=12288 |     1.443 |       1.455 |   0.012 |     1.008
M= 8192, N= 2048, K=16384 |     1.935 |       1.963 |   0.028 |     1.014
M= 8192, N= 4096, K=   16 |     0.053 |       0.068 |   0.015 |     1.282
M= 8192, N= 4096, K=   32 |     0.054 |       0.070 |   0.016 |     1.305
M= 8192, N= 4096, K=   64 |     0.066 |       0.076 |   0.010 |     1.151
M= 8192, N= 4096, K=  128 |     0.086 |       0.077 |   0.010 |     0.888
M= 8192, N= 4096, K=  256 |     0.091 |       0.103 |   0.012 |     1.136
M= 8192, N= 4096, K=  512 |     0.152 |       0.162 |   0.010 |     1.063
M= 8192, N= 4096, K= 1024 |     0.268 |       0.281 |   0.013 |     1.048
M= 8192, N= 4096, K= 2048 |     0.496 |       0.513 |   0.017 |     1.035
M= 8192, N= 4096, K= 4096 |     0.950 |       1.024 |   0.074 |     1.078
M= 8192, N= 4096, K= 8192 |     1.872 |       2.005 |   0.133 |     1.071
M= 8192, N= 4096, K=12288 |     2.911 |       2.939 |   0.028 |     1.010
M= 8192, N= 4096, K=16384 |     4.117 |       4.305 |   0.188 |     1.046
M= 8192, N= 8192, K=   16 |     0.107 |       0.179 |   0.071 |     1.664
M= 8192, N= 8192, K=   32 |     0.110 |       0.118 |   0.008 |     1.071
M= 8192, N= 8192, K=   64 |     0.136 |       0.139 |   0.003 |     1.024
M= 8192, N= 8192, K=  128 |     0.180 |       0.176 |   0.005 |     0.974
M= 8192, N= 8192, K=  256 |     0.193 |       0.229 |   0.036 |     1.187
M= 8192, N= 8192, K=  512 |     0.320 |       0.344 |   0.024 |     1.076
M= 8192, N= 8192, K= 1024 |     0.606 |       0.585 |   0.021 |     0.965
M= 8192, N= 8192, K= 2048 |     0.978 |       1.037 |   0.059 |     1.061
