x,Ij1.5,Ij2,Ij4
0.0,1.0,1.0,1.0
0.010101010101010102,1.0235690235690236,1.0235690235690236,1.0235690235690236
0.020202020202020204,1.0471380471380471,1.0471380471380471,1.0471380471380471
0.030303030303030304,1.0707070707070707,1.0707070707070707,1.0707070707070707
0.04040404040404041,1.0942760942760943,1.0942760942760943,1.0942760942760943
0.05050505050505051,1.1178451178451179,1.1178451178451179,1.1178451178451179
0.06060606060606061,1.1414141414141414,1.1414141414141414,1.1414141414141414
0.07070707070707072,1.164983164983165,1.164983164983165,1.164983164983165
0.08080808080808081,1.1885521885521886,1.1885521885521886,1.1885521885521886
0.09090909090909091,1.2121212121212122,1.2121212121212122,1.2121212121212122
0.10101010101010102,1.2356902356902357,1.2356902356902357,1.2356902356902357
0.11111111111111112,1.2592592592592593,1.2592592592592593,1.2592592592592593
0.12121212121212122,1.2828282828282829,1.2828282828282829,1.2828282828282829
0.13131313131313133,1.28476821192053,1.3063973063973064,1.3063973063973064
0.14141414141414144,1.274193548387097,1.32996632996633,1.32996632996633
0.15151515151515152,1.2641509433962264,1.3535353535353536,1.3535353535353536
0.16161616161616163,1.2546012269938651,1.3771043771043772,1.3771043771043772
0.17171717171717174,1.2455089820359282,1.4006734006734007,1.4006734006734007
0.18181818181818182,1.236842105263158,1.4029850746268657,1.4242424242424243
0.19191919191919193,1.2285714285714284,1.3870967741935483,1.4478114478114479
0.20202020202020204,1.2206703910614527,1.3720565149136577,1.4713804713804715
0.21212121212121213,1.2131147540983607,1.3577981651376145,1.4949494949494948
0.22222222222222224,1.2058823529411766,1.344262295081967,1.5185185185185186
0.23232323232323235,1.1989528795811517,1.3313953488372094,1.5420875420875422
0.24242424242424243,1.1923076923076923,1.319148936170213,1.5656565656565657
0.25252525252525254,1.185929648241206,1.3074792243767313,1.5450081833060558
0.26262626262626265,1.1798029556650245,1.2963464140730718,1.5218427323272437
0.27272727272727276,1.173913043478261,1.2857142857142856,1.5
0.2828282828282829,1.1682464454976302,1.2755498059508408,1.4793698424606152
0.29292929292929293,1.1627906976744184,1.2658227848101264,1.4598540145985401
0.30303030303030304,1.1575342465753424,1.2565055762081787,1.44136460554371
0.31313131313131315,1.1524663677130045,1.2475728155339805,1.4238227146814404
0.32323232323232326,1.1475770925110131,1.239001189060642,1.4071573261309926
0.33333333333333337,1.1428571428571428,1.2307692307692308,1.391304347826087
0.3434343434343435,1.1382978723404256,1.2228571428571429,1.3762057877813505
0.3535353535353536,1.1338912133891212,1.2152466367713004,1.3618090452261307
0.36363636363636365,1.1296296296296295,1.2079207920792079,1.3480662983425413
0.37373737373737376,1.125506072874494,1.2008639308855291,1.3349339735894357
0.38383838383838387,1.1215139442231077,1.1940615058324495,1.3223722842043453
0.393939393939394,1.1176470588235294,1.1875,1.3103448275862069
0.4040404040404041,1.1138996138996138,1.1811668372569089,1.2988182329769273
0.4141414141414142,1.1102661596958174,1.1750503018108653,1.2877618522601986
0.42424242424242425,1.1067415730337078,1.1691394658753709,1.2771474878444085
0.43434343434343436,1.103321033210332,1.1634241245136185,1.2669491525423728
0.4444444444444445,1.0999999999999999,1.1578947368421053,1.2571428571428571
0.4545454545454546,1.096774193548387,1.152542372881356,1.2477064220183485
0.4646464646464647,1.0936395759717314,1.1473586654309547,1.2386193096548272
0.4747474747474748,1.0905923344947734,1.1423357664233578,1.2298624754420433
0.48484848484848486,1.0876288659793816,1.137466307277628,1.2214182344428364
0.494949494949495,1.0847457627118644,1.1327433628318584,1.2132701421800947
0.5050505050505051,1.0819397993311037,1.1281604184829992,1.2054028877503493
