other_rps	mps-30_llm_latency_ms	mps-30_llm_p99_ms	mps-30_completed	mps-50_llm_latency_ms	mps-50_llm_p99_ms	mps-50_completed	orion_llm_latency_ms	orion_llm_p99_ms	orion_completed	MorphX_llm_latency_ms	MorphX_llm_p99_ms	MorphX_completed	stream_llm_latency_ms	stream_llm_p99_ms	stream_completed	tgs_llm_latency_ms	tgs_llm_p99_ms	tgs_completed	timeslice_llm_latency_ms	timeslice_llm_p99_ms	timeslice_completed
0.010	25.11	33.17	0.094	20.35	25.39	0.094	18.71	21.70	0.094	18.66	21.61	0.094	20.02	28.65	0.094	18.50	22.05	0.066	18.87	21.91	0.094
0.020	26.65	35.52	0.205	21.46	27.61	0.205	20.26	25.15	0.205	20.42	25.13	0.205	20.59	25.19	0.206	18.55	22.00	0.067	20.87	25.77	0.205
0.040	29.30	40.02	0.404	23.47	29.07	0.404	23.80	30.81	0.404	22.64	28.42	0.404	24.44	30.17	0.404	19.21	36.31	0.116	25.51	33.89	0.404
0.060	31.96	42.77	0.589	25.80	32.27	0.589	28.86	36.75	0.589	26.43	33.79	0.589	30.24	39.96	0.589	18.57	22.08	0.067	32.70	43.16	0.589
0.080	35.65	49.32	0.794	28.03	35.02	0.777	37.35	50.07	0.794	32.20	42.84	0.794	40.58	55.42	0.794	18.48	21.93	0.067	46.23	65.09	0.794
0.100	39.78	52.16	0.981	28.06	35.00	0.783	52.14	72.06	0.992	39.99	46.85	0.977	59.53	82.47	0.994	18.50	21.97	0.067	74.15	98.29	0.990
