other_rps	mps-30_llm_latency_ms	mps-30_llm_p99_ms	mps-30_completed	mps-50_llm_latency_ms	mps-50_llm_p99_ms	mps-50_completed	orion_llm_latency_ms	orion_llm_p99_ms	orion_completed	MorphX_llm_latency_ms	MorphX_llm_p99_ms	MorphX_completed	stream_llm_latency_ms	stream_llm_p99_ms	stream_completed	tgs_llm_latency_ms	tgs_llm_p99_ms	tgs_completed	timeslice_llm_latency_ms	timeslice_llm_p99_ms	timeslice_completed
0.100	24.45	32.48	0.089	19.77	24.45	0.089	18.24	21.57	0.089	19.83	22.95	0.089	18.38	21.73	0.089	18.59	22.01	0.089	18.63	21.92	0.089
0.200	24.87	33.40	0.176	20.45	28.22	0.176	19.43	22.67	0.176	20.46	23.54	0.176	19.47	22.90	0.176	20.41	25.68	0.176	20.05	24.39	0.176
0.400	25.87	34.66	0.397	21.13	25.51	0.397	22.46	26.04	0.397	21.76	25.01	0.397	22.17	25.76	0.397	23.81	28.30	0.397	23.70	28.15	0.397
0.600	26.30	34.80	0.594	21.83	27.78	0.593	25.63	34.27	0.594	23.82	29.10	0.594	25.32	33.19	0.594	28.42	39.19	0.594	28.36	39.03	0.594
0.800	27.00	35.33	0.787	22.65	28.18	0.772	30.55	38.75	0.787	25.35	30.14	0.787	29.86	36.94	0.787	35.65	43.44	0.786	35.32	46.44	0.787
1	27.79	35.84	0.988	22.74	28.45	0.803	40.18	56.14	0.991	26.86	30.91	0.986	37.99	53.23	0.993	48.75	69.21	0.972	49.45	69.74	0.987
1.200	28.46	36.85	1.173	22.72	28.44	0.804	55.03	78.61	1.193	28.18	32.26	1.136	49.96	72.59	1.194	49.63	61.09	0.998	67.80	79.24	1.162
1.400	28.51	37.63	1.202	22.71	28.42	0.801	74.25	83.77	1.361	28.37	32.94	1.154	72.34	121.07	1.401	57.43	76.03	1.070	69.52	79.35	1.189
1.600	28.47	37.61	1.196	23.10	28.38	0.799	75.61	83.16	1.388	28.21	32.54	1.156	116.50	145.33	1.591	55.49	76.14	1.046	69.97	82.39	1.193
