other_rps	mps-30_llm_latency_ms	mps-30_llm_p99_ms	mps-30_completed	mps-50_llm_latency_ms	mps-50_llm_p99_ms	mps-50_completed	orion_llm_latency_ms	orion_llm_p99_ms	orion_completed	MorphX_llm_latency_ms	MorphX_llm_p99_ms	MorphX_completed	stream_llm_latency_ms	stream_llm_p99_ms	stream_completed	tgs_llm_latency_ms	tgs_llm_p99_ms	tgs_completed	timeslice_llm_latency_ms	timeslice_llm_p99_ms	timeslice_completed
0.010	61.44	107.71	0.094	34.13	50.19	0.094	25.89	34.84	0.094	25.77	34.45	0.094	26.20	35.38	0.094	26.21	33.82	0.094	26.24	35.43	0.094
0.020	66.19	115.41	0.205	37.57	55.45	0.205	28.82	38.81	0.205	28.37	38.61	0.205	29.44	39.33	0.206	28.37	54.82	0.141	30.10	40.14	0.205
0.030	72.98	131.61	0.306	41.02	65.59	0.305	31.98	43.19	0.306	31.11	42.32	0.306	33.51	45.40	0.306	31.36	59.05	0.220	34.36	46.99	0.306
0.040	81.78	156.59	0.404	45.24	72.65	0.404	35.97	48.52	0.404	34.68	48.00	0.404	38.92	52.31	0.404	28.43	51.22	0.148	41.27	56.00	0.404
0.050	108.76	193.72	0.497	48.86	79.67	0.497	41.96	58.42	0.497	42.75	62.18	0.497	46.62	71.04	0.497	31.08	56.53	0.184	50.80	77.88	0.497
0.060	115.82	209.45	0.589	55.31	86.38	0.589	52.29	74.87	0.589	47.25	65.43	0.589	59.72	84.70	0.589	30.23	52.00	0.166	64.02	97.84	0.589
