config	rps	baseline(avg)	MorphX(avg)	stream(avg)	chunked(avg)	baseline(p99)	MorphX(p99)	stream(p99)	chunked(p99)	baseline(ttft_avg)	MorphX(ttft_avg)	stream(ttft_avg)	chunked(ttft_avg)	baseline(ttft_p99)	MorphX(ttft_p99)	stream(ttft_p99)	chunked(ttft_p99)	vs_baseline_avg(%)	vs_baseline_p99(%)	vs_stream_avg(%)	vs_stream_p99(%)	vs_chunked_avg(%)	vs_chunked_p99(%)
in-2048-out-256-rps-1	1.000	0.024	0.024	0.022	0.022	0.033	0.028	0.027	0.028	0.180	0.294	0.220	0.190	0.185	0.565	0.404	0.198	2.182	16.299	-7.746	-2.276	-6.196	0.779
in-2048-out-256-rps-2	2.000	0.033	0.031	0.031	0.033	0.046	0.038	0.041	0.045	0.180	0.346	0.232	0.193	0.186	0.809	0.516	0.199	7.101	17.163	-0.393	5.833	4.842	14.032
in-2048-out-256-rps-3	3.000	0.070	0.049	0.054	0.065	0.096	0.066	0.074	0.089	0.257	0.532	0.295	0.237	2.454	1.531	0.727	1.473	30.990	31.412	10.808	11.519	25.787	26.140
in-2048-out-256-rps-4	4.000	0.152	0.118	0.128	0.139	0.226	0.173	0.191	0.197	14.121	8.065	9.343	11.167	32.060	21.318	24.931	25.469	22.017	23.313	7.597	9.179	15.072	11.903
in-2048-out-256-rps-5	5.000	0.192	0.171	0.177	0.185	0.305	0.279	0.287	0.286	24.700	21.074	21.922	22.724	52.701	47.846	49.926	46.476	11.187	8.651	3.831	2.923	7.540	2.617
in-4096-out-128-rps-1	1.000	0.033	0.033	0.032	0.032	0.064	0.050	0.054	0.059	0.365	0.556	0.435	0.375	0.400	1.199	0.923	0.398	-2.083	20.648	-4.863	6.137	-3.506	15.199
in-4096-out-128-rps-1.5	1.500	0.049	0.046	0.046	0.048	0.087	0.075	0.082	0.085	0.366	0.765	0.526	0.380	0.377	2.055	1.175	0.390	6.223	13.574	0.753	8.698	3.232	11.274
in-4096-out-128-rps-2	2.000	0.090	0.067	0.078	0.087	0.145	0.104	0.135	0.142	0.487	1.153	0.701	0.472	2.904	3.473	2.161	2.511	25.288	28.216	13.524	22.913	22.377	27.108
in-4096-out-128-rps-2.5	2.500	0.180	0.129	0.166	0.186	0.258	0.173	0.206	0.239	7.843	5.615	4.348	6.312	16.357	10.909	9.337	12.708	28.159	33.226	22.034	16.397	30.555	27.659
in-4096-out-128-rps-3	3.000	0.272	0.225	0.260	0.278	0.450	0.374	0.387	0.411	19.887	17.765	16.212	17.629	40.031	36.566	32.357	34.633	17.406	16.874	13.383	3.361	19.128	8.862
in-4096-out-256-rps-1	1.000	0.033	0.034	0.033	0.033	0.052	0.048	0.049	0.051	0.365	0.574	0.444	0.379	0.373	1.221	0.918	0.389	-1.420	6.887	-3.859	2.145	-1.963	5.979
in-4096-out-256-rps-1.5	1.500	0.061	0.058	0.056	0.061	0.087	0.081	0.081	0.086	0.365	0.741	0.537	0.386	0.372	1.960	1.312	0.397	5.762	7.428	-4.069	0.833	5.407	6.239
in-4096-out-256-rps-2	2.000	0.121	0.099	0.111	0.121	0.176	0.128	0.149	0.169	8.930	4.561	6.512	8.307	21.464	11.298	15.371	19.790	18.230	26.915	10.218	13.836	17.745	23.848
in-4096-out-256-rps-2.5	2.500	0.172	0.151	0.165	0.172	0.282	0.218	0.252	0.272	23.023	17.535	19.714	21.140	48.489	34.490	41.510	46.232	12.145	22.652	8.546	13.256	12.567	19.695
in-4096-out-256-rps-3	3.000	0.204	0.195	0.201	0.207	0.338	0.311	0.317	0.338	31.370	28.004	28.921	29.743	63.402	57.898	58.278	62.437	4.353	7.774	3.104	1.901	6.099	7.799
